rank;size;batch_size;total_loading_time;total_computing_time;total_time
2;5;16;0.0717158317565918;9.99731731414795;10.069033145904541
3;5;16;0.05617785453796387;10.180877208709717;10.23705506324768
1;5;16;0.04158830642700195;10.198695421218872;10.240283727645874
0;5;16;0.08783173561096191;10.264288187026978;10.35211992263794
2;5;16;0.05916786193847656;10.573133945465088;10.632301807403564
4;5;16;0.04505515098571777;10.628381967544556;10.673437118530273
0;6;16;0.031409502029418945;7.6926867961883545;7.724096298217773
3;6;16;0.02897357940673828;7.672734260559082;7.70170783996582
1;6;16;0.0678567886352539;7.661065340042114;7.728922128677368
2;6;16;0.02475428581237793;8.140998840332031;8.16575312614441
4;6;16;0.023985624313354492;8.12807822227478;8.152063846588135
5;6;16;0.036031484603881836;7.654238224029541;7.690269708633423
0;6;16;0.024412155151367188;7.678394079208374;7.702806234359741
1;6;16;0.048254966735839844;7.627060651779175;7.675315618515015
3;6;16;0.03197979927062988;7.670154809951782;7.702134609222412
5;6;16;0.019695758819580078;7.6221764087677;7.64187216758728
4;6;16;0.03853034973144531;8.088897466659546;8.127427816390991
2;6;16;0.024291276931762695;8.100701332092285;8.124992609024048
1;6;16;0.02543926239013672;7.656829833984375;7.682269096374512
3;6;16;0.02960371971130371;7.67119288444519;7.700796604156494
5;6;16;0.046213626861572266;7.633490085601807;7.679703712463379
0;6;16;0.03328514099121094;7.6663923263549805;7.699677467346191
4;6;16;0.039984941482543945;7.783286809921265;7.823271751403809
2;6;16;0.02509617805480957;7.825354099273682;7.850450277328491
0;1;32;0.30035853385925293;10.33381724357605;10.634175777435303
0;1;32;0.3156311511993408;9.599311351776123;9.914942502975464
0;1;32;0.23746061325073242;10.144612312316895;10.382072925567627
1;2;32;0.09629344940185547;36.20069861412048;36.29699206352234
0;2;32;0.12807989120483398;36.16825556755066;36.29633545875549
0;2;32;0.14514756202697754;36.125025033950806;36.27017259597778
1;2;32;0.06910276412963867;36.19775319099426;36.2668559551239
0;2;32;0.10342121124267578;36.17254328727722;36.2759644985199
1;2;32;0.08716964721679688;36.19251537322998;36.27968502044678
1;3;32;0.17181158065795898;24.12852692604065;24.30033850669861
0;3;32;0.19639086723327637;24.124247789382935;24.32063865661621
2;3;32;0.19423365592956543;24.15079927444458;24.345032930374146
1;3;32;0.10132098197937012;23.8049476146698;23.90626859664917
0;3;32;0.09483933448791504;23.828405618667603;23.923244953155518
2;3;32;0.07281231880187988;23.85077929496765;23.92359161376953
2;3;32;0.15193867683410645;23.49634099006653;23.648279666900635
1;3;32;0.1649610996246338;23.534937143325806;23.69989824295044
0;3;32;0.14847469329833984;23.53463363647461;23.68310832977295
0;4;32;0.06827139854431152;19.89708185195923;19.96535325050354
1;4;32;0.06997966766357422;19.882711172103882;19.952690839767456
2;4;32;0.05503416061401367;19.888125896453857;19.94316005706787
3;4;32;0.05233478546142578;19.878758907318115;19.93109369277954
1;4;32;0.11027216911315918;19.942260026931763;20.052532196044922
3;4;32;0.06444764137268066;19.990785360336304;20.055233001708984
2;4;32;0.07620763778686523;19.964542388916016;20.04075002670288
0;4;32;0.09064722061157227;19.9585280418396;20.049175262451172
3;4;32;0.10184955596923828;19.94183111190796;20.043680667877197
0;4;32;0.13350486755371094;19.947614431381226;20.081119298934937
2;4;32;0.13158130645751953;20.139572620391846;20.271153926849365
1;4;32;0.0886387825012207;19.980944395065308;20.06958317756653
1;5;32;0.10401272773742676;16.502786874771118;16.606799602508545
2;5;32;0.05623817443847656;16.551573753356934;16.60781192779541
4;5;32;0.04714512825012207;16.58384370803833;16.630988836288452
3;5;32;0.07558441162109375;16.577558040618896;16.65314245223999
0;5;32;0.08880281448364258;16.617405891418457;16.7062087059021
1;5;32;0.0513761043548584;16.94466519355774;16.996041297912598
0;5;32;0.04841327667236328;16.9227077960968;16.971121072769165
3;5;32;0.07071828842163086;16.976250648498535;17.046968936920166
2;5;32;0.05907726287841797;16.982930421829224;17.04200768470764
4;5;32;0.05833864212036133;16.98874044418335;17.04707908630371
3;5;32;0.1084127426147461;16.5679030418396;16.676315784454346
4;5;32;0.10489845275878906;16.59167456626892;16.69657301902771
1;5;32;0.10718774795532227;16.62664008140564;16.733827829360962
0;5;32;0.060265302658081055;16.656702280044556;16.716967582702637
2;5;32;0.07821249961853027;16.59631609916687;16.6745285987854
0;6;32;0.0919947624206543;14.736456871032715;14.82845163345337
1;6;32;0.12762713432312012;14.676413297653198;14.804040431976318
2;6;32;0.12354111671447754;14.951402425765991;15.074943542480469
5;6;32;0.043253421783447266;14.79008936882019;14.833342790603638
3;6;32;0.09016013145446777;14.731014490127563;14.821174621582031
4;6;32;0.1021425724029541;14.96142578125;15.063568353652954
0;6;32;0.04319357872009277;15.149611473083496;15.192805051803589
1;6;32;0.08014321327209473;15.16034984588623;15.240493059158325
2;6;32;0.06717228889465332;15.17394733428955;15.241119623184204
4;6;32;0.06118583679199219;15.123123407363892;15.184309244155884
3;6;32;0.07689762115478516;15.166404724121094;15.243302345275879
5;6;32;0.061945199966430664;15.182382583618164;15.244327783584595
0;6;32;0.08681702613830566;14.979020118713379;15.065837144851685
1;6;32;0.06466984748840332;14.961451530456543;15.026121377944946
2;6;32;0.09169626235961914;14.990376234054565;15.082072496414185
3;6;32;0.14049005508422852;14.94171667098999;15.082206726074219
4;6;32;0.0902254581451416;14.994213342666626;15.084438800811768
5;6;32;0.03957653045654297;14.970510721206665;15.010087251663208
0;1;64;0.5219042301177979;17.851921796798706;18.373826026916504
0;1;64;0.39421939849853516;18.434858798980713;18.829078197479248
0;1;64;0.407822847366333;18.201693296432495;18.609516143798828
1;2;64;0.1414928436279297;70.62029266357422;70.76178550720215
0;2;64;0.15920376777648926;70.60502219200134;70.76422595977783
0;2;64;0.2522296905517578;70.43458390235901;70.68681359291077
1;2;64;0.20892834663391113;70.47678136825562;70.68570971488953
1;2;64;0.21321368217468262;70.6227068901062;70.83592057228088
0;2;64;0.2603631019592285;70.57608270645142;70.83644580841064
1;3;64;0.15523123741149902;47.13789701461792;47.29312825202942
0;3;64;0.16135621070861816;47.15455341339111;47.31590962409973
2;3;64;0.1391003131866455;47.1784086227417;47.317508935928345
1;3;64;0.14649748802185059;47.25270318984985;47.399200677871704
2;3;64;0.15050649642944336;47.30992364883423;47.46043014526367
0;3;64;0.1625993251800537;47.27872610092163;47.441325426101685
2;3;64;0.18653583526611328;47.48394012451172;47.67047595977783
0;3;64;0.19843626022338867;47.507644176483154;47.70608043670654
1;3;64;0.20403575897216797;47.501946449279785;47.70598220825195
0;4;64;0.1607499122619629;37.167614698410034;37.328364610672
2;4;64;0.1343083381652832;37.17907357215881;37.3133819103241
1;4;64;0.17142772674560547;37.161598920822144;37.33302664756775
3;4;64;0.16808342933654785;37.16879987716675;37.336883306503296
0;4;64;0.15978360176086426;36.886974811553955;37.04675841331482
1;4;64;0.17969393730163574;36.88861298561096;37.0683069229126
2;4;64;0.19600987434387207;36.87859296798706;37.07460284233093
3;4;64;0.16959929466247559;36.92001914978027;37.08961844444275
0;4;64;0.15300679206848145;36.95972681045532;37.112733602523804
1;4;64;0.17590665817260742;36.95112133026123;37.12702798843384
2;4;64;0.1462850570678711;36.98026394844055;37.12654900550842
3;4;64;0.1590883731842041;36.972100019454956;37.13118839263916
2;5;64;0.09917902946472168;29.68280553817749;29.781984567642212
4;5;64;0.0932149887084961;29.650583505630493;29.74379849433899
3;5;64;0.10132312774658203;29.733032941818237;29.83435606956482
1;5;64;0.17139244079589844;29.658024072647095;29.829416513442993
0;5;64;0.07999730110168457;29.996746063232422;30.076743364334106
4;5;64;0.1347370147705078;29.834767818450928;29.969504833221436
0;5;64;0.10511445999145508;29.661580562591553;29.766695022583008
1;5;64;0.16026806831359863;29.63582491874695;29.796092987060547
2;5;64;0.10346865653991699;29.923869371414185;30.0273380279541
3;5;64;0.08463597297668457;29.71271014213562;29.797346115112305
0;5;64;0.06819653511047363;30.01135492324829;30.079551458358765
3;5;64;0.057424306869506836;29.998719453811646;30.056143760681152
4;5;64;0.0722966194152832;30.089355945587158;30.16165256500244
2;5;64;0.06078529357910156;30.104240894317627;30.16502618789673
1;5;64;0.12891101837158203;30.07529306411743;30.204204082489014
0;6;64;0.07367968559265137;25.807992935180664;25.881672620773315
2;6;64;0.054610252380371094;26.337127208709717;26.391737461090088
1;6;64;0.06296777725219727;25.78871750831604;25.851685285568237
4;6;64;0.08009099960327148;26.310990571975708;26.39108157157898
5;6;64;0.06437087059020996;25.80910348892212;25.87347435951233
3;6;64;0.05570220947265625;25.830913305282593;25.88661551475525
1;6;64;0.09484052658081055;25.75301694869995;25.84785747528076
0;6;64;0.10742712020874023;25.770674467086792;25.878101587295532
2;6;64;0.1341228485107422;26.191936492919922;26.326059341430664
4;6;64;0.08885335922241211;26.24161386489868;26.330467224121094
5;6;64;0.1024169921875;25.73995280265808;25.84236979484558
3;6;64;0.08826565742492676;25.790040493011475;25.8783061504364
0;6;64;0.07216763496398926;25.948452711105347;26.020620346069336
1;6;64;0.08465003967285156;25.898423194885254;25.983073234558105
2;6;64;0.08736801147460938;26.168076038360596;26.255444049835205
4;6;64;0.08747100830078125;26.14920449256897;26.23667550086975
5;6;64;0.06390023231506348;25.905803680419922;25.969703912734985
3;6;64;0.08292269706726074;25.930219650268555;26.013142347335815
0;1;128;0.9063446521759033;33.70501112937927;34.611355781555176
0;1;128;0.6859738826751709;32.730392932891846;33.41636681556702
0;1;128;0.6518423557281494;32.67863392829895;33.3304762840271
1;2;128;0.3590245246887207;139.0006697177887;139.35969424247742
0;2;128;0.3043828010559082;139.05576920509338;139.3601520061493
0;2;128;0.35192418098449707;139.13343715667725;139.48536133766174
1;2;128;0.3622004985809326;139.12001752853394;139.48221802711487
0;2;128;0.530797004699707;138.7696328163147;139.3004298210144
1;2;128;0.40965843200683594;138.8936367034912;139.30329513549805
0;3;128;0.2995021343231201;92.45801949501038;92.7575216293335
2;3;128;0.25685548782348633;92.51959252357483;92.77644801139832
1;3;128;0.2850208282470703;92.53364539146423;92.8186662197113
1;3;128;0.2815721035003662;92.30563354492188;92.58720564842224
2;3;128;0.2696969509124756;92.37177515029907;92.64147210121155
0;3;128;0.2625117301940918;92.36896252632141;92.6314742565155
1;3;128;0.22050738334655762;92.64969229698181;92.87019968032837
0;3;128;0.28617024421691895;92.63044691085815;92.91661715507507
2;3;128;0.21325230598449707;92.71838712692261;92.9316394329071
